ChIP_combination,ChIP,sc_P3_cl13_up,sc_d8_arm_up,sc_P3_arm_up,sc_P2_arm_up,sc_P4_arm_up,sc_P9_arm_up,sc_all,d5_KLRG1lo_Runx3_repressed,nascent_48h_up,sc_P4_cl13_up,sc_P7_cl13_up,sc_P7_arm_up,d5_KLRG1lo_Runx3_promoted,d5_KLRG1lo_all,d5_KLRG1hi_all,nascent_Il2_repressed,nascent_48h_dn,sc_P9_cl13_up,sc_P5_cl13_up,sc_P6_arm_up,sc_P5_arm_up,nascent_all,nascent_Il2_promoted,sc_d5_arm_up,sc_d8_cl13_up,d5_KLRG1hi_Runx3_repressed,d5_KLRG1hi_Runx3_promoted,sc_d5_cl13_up,sc_P6_cl13_up,sc_P2_cl13_up
2016_SCIENCE_Mackay___Hobit_invitro-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.0202,0.0373,0.0312,0.0272,0.0556,0.0215,0.0138,0.0193,0.0486,0.0199,0.0268,0.0408,0.0,0.0236,0.0198,0.0198,0.0238,0.0209,0.0,0.0369,0.0281,0.031,0.0193,0.0267,0.0203,0.0177,0.0269,0.0164,0.0308,0.0298,0.0513
2016_SCIENCE_Mackay___Hobit_invitro-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.0182,0.0318,0.031,0.0272,0.055,0.0127,0.0131,0.018,0.0478,0.0177,0.0198,0.0323,0.0,0.0173,0.0182,0.0182,0.0235,0.0196,0.0,0.0227,0.0248,0.0283,0.0179,0.026,0.018,0.0157,0.0282,0.0145,0.028,0.0233,0.027
2016_SCIENCE_Mackay___Hobit_invitro-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.0165,0.0401,0.0282,0.0239,0.0444,0.0202,0.0094,0.0168,0.0434,0.0176,0.0315,0.04,0.0,0.0161,0.0163,0.0163,0.0209,0.0171,0.0,0.0349,0.0221,0.0268,0.0163,0.0232,0.0155,0.0162,0.0236,0.0152,0.0289,0.0309,0.0476
2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT---2017_PNAS_Li___STAT5B_IL2-CD8,0.2022,0.3461,0.2804,0.2929,0.3694,0.3563,0.1492,0.1938,0.3641,0.2154,0.4444,0.2925,0.525,0.211,0.2001,0.2001,0.267,0.2029,0.2381,0.4335,0.2334,0.3113,0.2015,0.2913,0.2062,0.1778,0.2009,0.2296,0.2879,0.4128,0.3333
2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.1676,0.3108,0.2528,0.295,0.2897,0.3571,0.1908,0.1646,0.3676,0.1716,0.451,0.3061,0.5789,0.2086,0.1677,0.1677,0.2737,0.1787,0.2131,0.4332,0.2186,0.3069,0.1656,0.2062,0.1808,0.1426,0.1853,0.1927,0.2531,0.3744,0.5
2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.3795,0.448,0.5201,0.4808,0.3986,0.4787,0.3286,0.4064,0.4456,0.3918,0.4636,0.3491,0.5128,0.4416,0.3863,0.3863,0.366,0.4662,0.3143,0.489,0.4438,0.443,0.4015,0.4531,0.4444,0.408,0.3384,0.5198,0.4509,0.4378,0.4167
2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.1006,0.1734,0.1493,0.191,0.2039,0.1951,0.104,0.099,0.2109,0.0901,0.2887,0.2,0.2895,0.1146,0.1015,0.1015,0.1685,0.1064,0.1754,0.2475,0.146,0.2111,0.097,0.1041,0.1184,0.0813,0.1274,0.0985,0.1399,0.2548,0.2903
2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.5362,0.6722,0.7082,0.6803,0.6475,0.6509,0.4789,0.5553,0.6838,0.5423,0.7049,0.5641,0.8605,0.6109,0.5404,0.5404,0.5897,0.6084,0.5833,0.7373,0.6354,0.6614,0.5479,0.6056,0.596,0.5417,0.5648,0.6376,0.6537,0.7082,0.6429
2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.493,0.622,0.6647,0.6372,0.518,0.5238,0.429,0.5206,0.6199,0.496,0.6198,0.5259,0.75,0.5091,0.4967,0.4967,0.5534,0.5851,0.5122,0.6667,0.5593,0.6215,0.5074,0.553,0.552,0.5097,0.5098,0.5972,0.6136,0.6747,0.6098
2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.5625,0.7011,0.7359,0.7318,0.6345,0.6916,0.5021,0.5811,0.6955,0.5633,0.7364,0.6107,0.8182,0.6109,0.5679,0.5679,0.6179,0.6368,0.5955,0.7443,0.6484,0.6926,0.5708,0.6255,0.6213,0.5527,0.5829,0.6421,0.6702,0.7509,0.6364
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT---2017_PNAS_Li___STAT5B_IL2-CD8,0.1779,0.3048,0.2623,0.271,0.2703,0.2338,0.1643,0.1796,0.3404,0.1993,0.3711,0.2759,0.45,0.18,0.1775,0.1775,0.2415,0.2005,0.2075,0.3881,0.1933,0.2759,0.1822,0.2707,0.1914,0.164,0.1916,0.2024,0.2684,0.4069,0.3529
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.1355,0.2857,0.2224,0.2327,0.1869,0.1974,0.154,0.143,0.3445,0.1516,0.3736,0.2289,0.4615,0.1399,0.1366,0.1366,0.2322,0.1694,0.1538,0.3707,0.1638,0.2235,0.1388,0.1865,0.1425,0.1275,0.1718,0.1525,0.2275,0.3403,0.3125
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.3577,0.4588,0.5322,0.467,0.4109,0.45,0.3108,0.3924,0.4625,0.3655,0.5,0.4268,0.5135,0.4132,0.3633,0.3633,0.3493,0.4493,0.3684,0.4808,0.4261,0.4667,0.3772,0.4303,0.4453,0.3838,0.3621,0.5121,0.4561,0.4646,0.5517
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.0836,0.1644,0.1388,0.1856,0.1531,0.1538,0.0838,0.0866,0.182,0.0958,0.3077,0.1884,0.2778,0.0793,0.0837,0.0837,0.1556,0.0994,0.1522,0.2333,0.1402,0.1935,0.0842,0.1024,0.1009,0.0693,0.1118,0.0839,0.1304,0.2558,0.2593
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.4179,0.5486,0.6109,0.5214,0.5352,0.4757,0.3744,0.4497,0.5741,0.4244,0.5546,0.4537,0.8333,0.4232,0.4214,0.4214,0.466,0.5082,0.4337,0.6324,0.5263,0.5,0.4326,0.4942,0.487,0.4318,0.4536,0.5253,0.5347,0.5697,0.575
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.416,0.5756,0.6138,0.54,0.626,0.4891,0.3796,0.4491,0.5728,0.4203,0.5872,0.466,0.85,0.4328,0.4191,0.4191,0.4876,0.5104,0.5068,0.6245,0.5399,0.5261,0.4287,0.4785,0.495,0.4263,0.4396,0.5207,0.5434,0.6245,0.5385
2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.4079,0.548,0.6088,0.5251,0.5479,0.4234,0.3625,0.4406,0.5732,0.4097,0.5344,0.4341,0.75,0.3965,0.4127,0.4127,0.4623,0.5109,0.4222,0.6174,0.4934,0.4689,0.4212,0.4766,0.4679,0.4179,0.4436,0.5137,0.5262,0.5752,0.5
2017_PNAS_Li___STAT5B_IL2-CD8---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,0.246,0.375,0.3207,0.383,0.377,0.36,0.2396,0.2575,0.3705,0.2846,0.4865,0.4762,0.5,0.2955,0.2453,0.2453,0.3014,0.2704,0.4074,0.4759,0.3636,0.3832,0.2516,0.3354,0.2798,0.2649,0.2786,0.3197,0.3527,0.4966,0.4286
2017_PNAS_Li___STAT5B_IL2-CD8---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.1392,0.2749,0.2456,0.2583,0.1983,0.2568,0.1089,0.1493,0.3017,0.1608,0.3516,0.2135,0.3333,0.177,0.1407,0.1407,0.1962,0.1748,0.1429,0.3465,0.1777,0.2216,0.1467,0.2331,0.1528,0.1362,0.1517,0.1986,0.2487,0.3247,0.3871
2017_PNAS_Li___STAT5B_IL2-CD8---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.1392,0.2126,0.215,0.2034,0.25,0.1818,0.1236,0.149,0.2368,0.1585,0.2609,0.2586,0.2143,0.1611,0.141,0.141,0.1676,0.1506,0.24,0.24,0.181,0.2376,0.1413,0.1626,0.15,0.1348,0.1725,0.159,0.1862,0.3071,0.2308
2017_PNAS_Li___STAT5B_IL2-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.1813,0.3242,0.2797,0.2813,0.3359,0.3163,0.1507,0.1831,0.361,0.2101,0.4167,0.3455,0.5116,0.1963,0.1813,0.1813,0.2717,0.1954,0.2278,0.45,0.2182,0.2911,0.1847,0.3016,0.1941,0.1679,0.1925,0.2217,0.2801,0.4556,0.3261
2017_PNAS_Li___STAT5B_IL2-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.1724,0.3173,0.2681,0.2475,0.2764,0.2667,0.1494,0.1753,0.3691,0.1874,0.3739,0.2679,0.5122,0.1628,0.1725,0.1725,0.2682,0.1891,0.2222,0.4187,0.1792,0.2707,0.1762,0.2637,0.1762,0.1599,0.1852,0.1985,0.2716,0.4364,0.3488
2017_PNAS_Li___STAT5B_IL2-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.1711,0.3253,0.2641,0.2595,0.2887,0.2981,0.1341,0.1722,0.344,0.1965,0.4091,0.3037,0.5116,0.1728,0.1704,0.1704,0.2573,0.178,0.2184,0.4375,0.1909,0.2772,0.1733,0.2857,0.1763,0.1585,0.1754,0.2124,0.2692,0.4296,0.3617
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,0.0964,0.197,0.1665,0.1934,0.1364,0.1266,0.096,0.1043,0.2441,0.1143,0.2778,0.2073,0.2647,0.1255,0.0985,0.0985,0.1753,0.128,0.1064,0.245,0.1198,0.1459,0.102,0.136,0.094,0.0992,0.0911,0.1347,0.1836,0.2283,0.2188
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.2815,0.3545,0.3098,0.3681,0.3659,0.2632,0.3158,0.2878,0.3741,0.2658,0.386,0.4222,0.375,0.2866,0.2842,0.2842,0.347,0.3043,0.4211,0.4052,0.2791,0.3704,0.2827,0.2738,0.3166,0.2717,0.3657,0.2724,0.3265,0.505,0.4737
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.1483,0.276,0.2355,0.2705,0.2385,0.2887,0.1642,0.1441,0.3202,0.1635,0.3846,0.287,0.4884,0.1858,0.1481,0.1481,0.2378,0.1576,0.1923,0.3937,0.1902,0.2751,0.1454,0.1963,0.156,0.1238,0.1535,0.1679,0.2215,0.3469,0.3571
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.1261,0.2461,0.2172,0.2109,0.1626,0.1957,0.1339,0.1244,0.2952,0.1301,0.3393,0.2202,0.4524,0.1101,0.1255,0.1255,0.221,0.1521,0.1507,0.3583,0.1154,0.1787,0.1275,0.1641,0.1221,0.1042,0.1367,0.1479,0.2005,0.3162,0.3846
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.1377,0.2708,0.2243,0.2549,0.2336,0.31,0.1426,0.1317,0.3046,0.1433,0.3692,0.2556,0.4884,0.1712,0.1369,0.1369,0.2278,0.145,0.1724,0.3887,0.1753,0.2529,0.1358,0.1812,0.1447,0.113,0.1378,0.1568,0.2085,0.3296,0.3636
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,0.0587,0.1025,0.1052,0.1201,0.11,0.1061,0.0483,0.0597,0.1369,0.0606,0.1948,0.1286,0.1429,0.0571,0.0593,0.0593,0.1116,0.0745,0.0976,0.1243,0.0652,0.1118,0.0603,0.0727,0.0584,0.0523,0.0646,0.074,0.098,0.1411,0.1071
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.3742,0.4589,0.5145,0.4229,0.3758,0.3889,0.2947,0.3976,0.4266,0.3644,0.4583,0.3276,0.4651,0.3966,0.378,0.378,0.3357,0.4505,0.3373,0.4767,0.4021,0.4176,0.3889,0.428,0.4193,0.3901,0.3306,0.5131,0.4395,0.4219,0.4286
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.3688,0.4513,0.5116,0.4615,0.4043,0.4211,0.3159,0.3954,0.4179,0.3613,0.4174,0.3578,0.5,0.3868,0.3741,0.3741,0.3208,0.4524,0.3421,0.4408,0.4248,0.4372,0.3877,0.4299,0.447,0.3881,0.3243,0.5054,0.4309,0.425,0.3902
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.3765,0.4527,0.5091,0.4574,0.4,0.3805,0.3239,0.4024,0.426,0.3749,0.447,0.3382,0.4651,0.4026,0.3818,0.3818,0.3196,0.4557,0.3483,0.4576,0.4242,0.4568,0.3931,0.4571,0.4444,0.392,0.3268,0.5201,0.4353,0.4249,0.4
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8---2021_GoldrathLab_Brd4___BRD4_MP-CD8,0.0839,0.151,0.1393,0.1769,0.1575,0.1596,0.084,0.0814,0.1787,0.0797,0.2301,0.1553,0.2326,0.102,0.0847,0.0847,0.1343,0.0881,0.1316,0.209,0.1207,0.185,0.0806,0.0984,0.102,0.0645,0.1085,0.0835,0.1194,0.2236,0.2564
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8---2021_GoldrathLab_Brd4___BRD4_NAV-CD8,0.0715,0.1331,0.1243,0.1514,0.1316,0.119,0.0658,0.0702,0.1659,0.0663,0.2212,0.13,0.25,0.0683,0.0714,0.0714,0.128,0.0819,0.1324,0.1973,0.099,0.1493,0.0706,0.0845,0.0833,0.0553,0.0948,0.0732,0.1119,0.2182,0.2432
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8---2021_GoldrathLab_Brd4___BRD4_TE-CD8,0.0755,0.1475,0.1292,0.1609,0.1567,0.1616,0.0738,0.0732,0.1646,0.0707,0.2109,0.1575,0.2619,0.0859,0.0757,0.0757,0.1298,0.0815,0.1176,0.2023,0.1133,0.1692,0.0737,0.0856,0.091,0.0573,0.0948,0.0766,0.1126,0.2115,0.2381
